target,position,sentence,hypernym,definition,label
diversification,5,he limited his losses by diversification of his product line,change,the act of introducing variety especially in investments or in the variety of goods and services offered ,T
right,4,he writes with his right hand but pitches with his left,hand;manus;mitt;paw,the hand that is on the right side of the body,T
rest,5,the ocean was finally at rest ,inaction;inactivity;inactiveness,a state of inaction,T
furniture,6,there was only one piece of furniture in the room,furnishing,furnishings that make a room or other area ready for occupancy,T
child,9,go easy on him he is but a child ,juvenile;juvenile_person,a young person of either sex,T
rotation,1,crop rotation makes a balanced demand on the fertility of the soil,sequence;chronological_sequence;succession;successiveness;chronological_succession,a planned recurrent sequence of crops or personnel etc ,T
shade,6,after several trials he mixed the shade of pink that she wanted,color;colour;coloring;colouring,a quality of a given color that differs slightly from another color,T
attack,3,his plan of attack was misguided,conceptualization;conceptualisation;formulation,ideas or actions intended to deal with a problem or situation,T
air,6,a smell of chemicals in the air,gas,a mixture of gases especially oxygen required for breathing;the stuff that the wind consists of,T
thing,1,this thing has got to end,situation;state_of_affairs,a special situation,T
expression,17,the best poker players can tell if the opponents have a good hand by looking at their expression ,countenance;visage,the feelings expressed on a person is face,T
trial,1,a trial of progesterone failed to relieve the pain,experiment;experimentation,trying something to find out about it,T
deal,5,we need to finalise the deal with henderson by midnight ,transaction;dealing;dealings,a particular instance of buying or selling,T
acknowledgment,4,the preface contained an acknowledgment of those who had helped her,message;content;subject_matter;substance,a statement acknowledging something or someone,T
chain,6,the third link of the silver chain needs to be resoldered ,series,a series of things depending on each other as if linked together,T
way,2,come this way and i will show you a shortcut ,artifact;artefact,any artifact consisting of a road or path affording passage from one place to another,T
question,1,the question of disease merits serious discussion,subject;topic;theme,the subject matter at issue,T
gob,5,she is got such a gob on her she s always gossiping about someone or other ,mouth;oral_cavity;oral_fissure;rima_oris,informal terms for the mouth,T
throw,8,football tickets are expensive at fifty bucks a throw ,opportunity;chance,a single chance or instance,T
rain,7,we have been having a lot of rain lately ,precipitation;downfall,water falling in drops from vapor condensed in the atmosphere,T
interception,4,he resorted to the interception of his daughter is letters,prevention;bar,the act of intercepting;preventing something from proceeding or arriving,T
price,1,the price of success is hard work,value,value measured by what must be given or done or undergone to obtain something,T
authority,2,respect my authority ,control,the power or right to give orders or make decisions,T
litany,4,the patient recited a litany of complaints,address;speech,any long and tedious address or recital,T
movement,7,he was a charter member of the movement,social_group,a group of people with a common ideology who try together to achieve certain general goals,T
helm,1,the helm of the commonwealth,leadership;leading,a position of leadership,T
noise,21,whatever it was he did not like it and he was going to let them know by making as loud a noise as he could,cry;outcry;call;yell;shout;vociferation,a loud outcry of protest or complaint,T
stabilization,0,stabilization means that the product can be handled under atmospheric conditions,standardization;standardisation;normalization;normalisation,the act of stabilizing something or making it more stable,T
range,7,any good golf club will have a range where you can practice,facility;installation,a place for shooting firing or driving projectiles of various kinds,T
leave,3,might i beg leave to accompany you ,permission,permission to do something,T
rub,6,he gave the hood a quick rub,contact;physical_contact,the act of rubbing or wiping,T
summit,10,in summer it is possible to hike to the summit of mt shasta ,topographic_point;place;spot,the top or extreme point of something usually a mountain or hill ,T
